user_id,avg_daily_minutes,number_of_playlists,skips_per_day,support_tickets,days_since_last_login,churned,subscription_type_premium,top_genre_country,top_genre_electronic,top_genre_hip-hop,top_genre_jazz,top_genre_pop,top_genre_rock,country_BR,country_CA,country_DE,country_FR,country_IN,country_PK,country_RU,country_UK,country_US,engagement_score
user_1,134.9,4,6,0,1,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,53.86000000000001
user_2,165.7,5,8,0,12,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,64.98
user_3,45.9,3,3,0,3,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,18.359999999999996
user_4,106.0,0,7,0,3,0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,40.70000000000001
user_5,89.6,5,2,1,6,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,36.339999999999996
user_6,17.6,0,6,2,7,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,5.140000000000001
user_7,43.7,2,1,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,17.880000000000003
user_8,131.3,3,7,0,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,51.92000000000001
user_9,41.9,5,4,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,17.46
user_10,28.3,1,6,0,10,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,9.420000000000002
user_11,126.3,1,1,0,34,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,47.22
user_12,65.9,2,7,0,25,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,23.060000000000006
user_13,56.5,1,0,0,17,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,21.200000000000003
user_14,38.4,0,2,0,7,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,14.26
user_15,129.7,4,2,0,0,0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,52.68
user_16,78.4,3,7,0,13,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,29.560000000000006
user_17,34.8,1,5,0,4,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,12.82
user_18,89.3,1,3,0,3,0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,35.12
user_19,144.4,7,4,0,1,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,58.96000000000001
user_20,90.1,3,7,0,8,1,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,34.74
user_21,58.9,5,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,25.060000000000002
user_22,144.7,2,8,0,7,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,56.17999999999999
user_23,113.4,5,9,1,2,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,44.86000000000001
user_24,44.5,1,3,0,1,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,17.4
user_25,87.5,2,3,0,22,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,32.8
user_26,135.4,7,5,0,22,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,53.06
user_27,38.9,1,3,0,17,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,13.560000000000002
user_28,16.1,0,6,2,2,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5.040000000000001
user_29,109.7,3,4,0,7,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,43.28
user_30,72.1,0,9,0,35,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,23.54
user_31,62.4,4,5,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,25.16
user_32,193.9,5,4,0,2,0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,78.06
user_33,59.0,0,8,0,2,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,21.8
user_34,142.6,3,9,0,10,0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,55.14
user_35,137.6,9,2,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,57.34
user_36,43.0,5,7,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.3
user_37,13.5,2,1,0,11,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,4.699999999999999
user_38,74.2,3,4,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,29.68
user_39,96.5,4,7,0,16,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,36.800000000000004
user_40,83.1,7,12,0,2,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,32.74
user_41,127.8,6,1,0,12,0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,51.519999999999996
user_42,80.4,6,8,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,32.36
user_43,128.8,3,10,0,10,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,49.42000000000001
user_44,134.2,6,2,0,2,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,54.879999999999995
user_45,154.8,3,7,0,10,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,60.42000000000001
user_46,132.4,3,5,1,4,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,52.46000000000001
user_47,93.3,3,4,0,22,1,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,35.22
user_48,70.2,4,6,1,6,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,27.48
user_49,52.1,7,6,0,3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,21.440000000000005
user_50,34.3,2,4,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,13.419999999999998
user_51,53.3,3,6,0,33,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,17.72
user_52,117.8,4,7,0,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,46.52000000000001
user_53,106.6,6,5,0,27,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,40.739999999999995
user_54,22.6,3,10,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,7.840000000000002
user_55,121.7,2,6,1,11,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,46.980000000000004
user_56,136.8,3,9,0,3,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,53.52000000000001
user_57,75.5,3,6,1,16,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,28.3
user_58,235.6,7,7,0,15,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,93.44
user_59,50.5,3,2,1,8,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,19.900000000000002
user_60,52.9,1,3,0,7,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,20.16
user_61,140.6,1,3,0,1,0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,55.839999999999996
